DepartmentLink;Department;CourseLink;CourseIdReadeble;Name;Professor Name;Date;CourseId;DateId;AudioUrlPattern;IsAvailable
/physics;Physics;/physics/phys-201;PHYS 201;Fundamentals of Physics II;Ramamurti Shankar          ;Spring 2010          ;phys201;spring10;/courses/spring10/phys201/mp3/{0}.mp3;FALSE
/political-science;Political Science;/political-science/plsc-270;PLSC 270;Capitalism: Success, Crisis, and Reform;Douglas W. Rae          ;Fall 2009          ;plsc270;fall09;/courses/fall09/plsc270/mp3/{0}.mp3;FALSE
/political-science;Political Science;/political-science/plsc-114;PLSC 114;Introduction to Political Philosophy;Steven B. Smith          ;Fall 2006          ;plsc114;fall06;/courses/fall06/plsc114/mp3/{0}.mp3;FALSE
/psychology;Psychology;/introduction-psychology/psyc-110;PSYC 110;Introduction to Psychology;Paul Bloom          ;Spring 2007          ;psyc110;spring07;/courses/spring07/psyc110/mp3/{0}.mp3;FALSE
/psychology;Psychology;/psychology/psyc-123;PSYC 123;The Psychology, Biology and Politics of Food;Kelly D. Brownell          ;Fall 2008          ;psyc123;fall08;/courses/fall08/psyc123/mp3/{0}.mp3;FALSE
/religious-studies;Religious Studies;/religious-studies/rlst-152;RLST 152;Introduction to the New Testament History and Literature;Dale B. Martin          ;Spring 2009          ;rlst152;spring09;/courses/spring09/rlst152/mp3/{0}.mp3;FALSE
/religious-studies;Religious Studies;/religious-studies/rlst-145;RLST 145;Introduction to the Old Testament (Hebrew Bible);Christine Hayes          ;Fall 2006          ;rlst145;fall06;/courses/fall06/rlst145/mp3/{0}.mp3;FALSE
/sociology;Sociology;/sociology/socy-151;SOCY 151;Foundations of Modern Social Theory;Iván Szelényi          ;Fall 2009          ;socy151;fall09;/courses/fall09/socy151/mp3/{0}.mp3;FALSE
/spanish-and-portuguese;Spanish and Portuguese;/spanish-and-portuguese/span-300;SPAN 300;"Cervantes&#039; Don Quixote";Roberto González Echevarría          ;Fall 2009          ;span300;fall09;/courses/fall09/span300/mp3/{0}.mp3;FALSE
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;           ;
